source,target,source group,target group,value
Enjolras,Mabeuf,8,8,1
Enjolras,Valjean,8,2,4
Combeferre,Enjolras,8,8,15
Combeferre,Marius,8,8,5
Combeferre,Gavroche,8,8,6
Combeferre,Mabeuf,8,8,2
Prouvaire,Gavroche,8,8,1
Prouvaire,Enjolras,8,8,4
Prouvaire,Combeferre,8,8,2
Feuilly,Gavroche,8,8,2
Feuilly,Enjolras,8,8,6
Feuilly,Prouvaire,8,8,2
Feuilly,Combeferre,8,8,5
Feuilly,Mabeuf,8,8,1
Feuilly,Marius,8,8,1
Courfeyrac,Marius,8,8,9
Courfeyrac,Enjolras,8,8,17
Courfeyrac,Combeferre,8,8,13
Courfeyrac,Gavroche,8,8,7
Courfeyrac,Mabeuf,8,8,2
Courfeyrac,Eponine,8,4,1
Courfeyrac,Feuilly,8,8,6
Courfeyrac,Prouvaire,8,8,3
Bahorel,Combeferre,8,8,5
Bahorel,Gavroche,8,8,5
Bahorel,Courfeyrac,8,8,6
Bahorel,Mabeuf,8,8,2
Bahorel,Enjolras,8,8,4
Bahorel,Feuilly,8,8,3
Bahorel,Prouvaire,8,8,2
Bahorel,Marius,8,8,1
Bossuet,Marius,8,8,5
Bossuet,Courfeyrac,8,8,12
Bossuet,Gavroche,8,8,5
Bossuet,Bahorel,8,8,4
Bossuet,Enjolras,8,8,10
Bossuet,Feuilly,8,8,6
Bossuet,Prouvaire,8,8,2
Bossuet,Combeferre,8,8,9
Bossuet,Mabeuf,8,8,1
Bossuet,Valjean,8,2,1
Joly,Bahorel,8,8,5
Joly,Bossuet,8,8,7
Joly,Gavroche,8,8,3
Joly,Courfeyrac,8,8,5
Joly,Enjolras,8,8,5
Joly,Feuilly,8,8,5
Joly,Prouvaire,8,8,2
Joly,Combeferre,8,8,5
Joly,Mabeuf,8,8,1
Joly,Marius,8,8,2
Grantaire,Bossuet,8,8,3
Grantaire,Enjolras,8,8,3
Grantaire,Combeferre,8,8,1
Grantaire,Courfeyrac,8,8,2
Grantaire,Joly,8,8,2
Grantaire,Gavroche,8,8,1
Grantaire,Bahorel,8,8,1
Grantaire,Feuilly,8,8,1
Grantaire,Prouvaire,8,8,1
MotherPlutarch,Mabeuf,9,8,3
Gueulemer,Thenardier,4,4,5
Gueulemer,Valjean,4,2,1
Gueulemer,Mme.Thenardier,4,4,1
Gueulemer,Javert,4,4,1
Gueulemer,Gavroche,4,8,1
Gueulemer,Eponine,4,4,1
Babet,Thenardier,4,4,6
Babet,Gueulemer,4,4,6
Babet,Valjean,4,2,1
Babet,Mme.Thenardier,4,4,1
Babet,Javert,4,4,2
Babet,Gavroche,4,8,1
Babet,Eponine,4,4,1
Claquesous,Thenardier,4,4,4
Claquesous,Babet,4,4,4
Claquesous,Gueulemer,4,4,4
Claquesous,Valjean,4,2,1
Claquesous,Mme.Thenardier,4,4,1
Claquesous,Javert,4,4,1
Claquesous,Eponine,4,4,1
Claquesous,Enjolras,4,8,1
Montparnasse,Javert,4,4,1
Montparnasse,Babet,4,4,2
Montparnasse,Gueulemer,4,4,2
Montparnasse,Claquesous,4,4,2
Montparnasse,Valjean,4,2,1
Montparnasse,Gavroche,4,8,1
Montparnasse,Eponine,4,4,1
Montparnasse,Thenardier,4,4,1
Toussaint,Cosette,5,5,2
Toussaint,Javert,5,4,1
Toussaint,Valjean,5,2,1
Child1,Gavroche,10,8,2
Child2,Gavroche,10,8,2
Child2,Child1,10,10,3
Brujon,Babet,4,4,3
Brujon,Gueulemer,4,4,3
Brujon,Thenardier,4,4,3
Brujon,Gavroche,4,8,1
Brujon,Eponine,4,4,1
Brujon,Claquesous,4,4,1
Brujon,Montparnasse,4,4,1
Mme.Hucheloup,Bossuet,8,8,1
Mme.Hucheloup,Joly,8,8,1
Mme.Hucheloup,Grantaire,8,8,1
Mme.Hucheloup,Bahorel,8,8,1
Mme.Hucheloup,Courfeyrac,8,8,1
Mme.Hucheloup,Gavroche,8,8,1
Mme.Hucheloup,Enjolras,8,8,1
